price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
16.02378497148708,8.699514748210191,4,1,2,1,0,1,0,0,2,0,0.5
16.02378497148708,8.794824928014517,4,2,2,1,1,1,0,1,1,1,0.0
16.008280784951115,9.047821442478408,3,2,4,1,0,0,0,1,2,0,1.0
16.00043760749009,8.433811582477187,3,2,2,1,1,0,0,1,2,0,1.0
15.99649282919907,8.767173396684006,3,2,2,1,0,0,0,1,1,1,0.5
15.984564258333798,8.371010681238156,3,1,2,1,0,1,1,0,2,0,0.5
15.976532086636533,8.875566691990551,3,2,1,1,1,1,0,1,2,0,0.0
15.972491677099528,8.99342737041261,3,1,1,1,1,1,0,1,1,0,1.0
15.972491677099528,8.425077902508432,3,2,2,1,1,1,0,1,1,0,1.0
15.964361551016278,9.082507000466299,3,2,2,1,0,0,0,1,2,0,1.0
15.960271565764753,8.785692444451245,4,2,2,1,1,1,0,1,2,1,1.0
15.951214278652243,8.699514748210191,3,2,4,1,1,1,0,1,0,1,0.5
15.943742263813542,9.090993614343617,3,1,1,1,0,0,0,0,1,0,0.5
15.943742263813542,8.980927207648378,5,2,2,1,0,1,1,0,2,0,0.0
15.943742263813542,8.612503371220562,4,2,2,1,0,1,0,1,1,1,0.5
15.943742263813542,8.919319398258887,3,2,4,1,0,0,0,1,2,0,0.0
15.943742263813542,8.85366542803745,3,1,4,1,0,0,0,1,2,0,0.5
15.931163481606681,8.492900498847193,4,2,2,1,0,0,0,1,1,1,1.0
15.918424455829252,8.692825760059396,3,3,2,1,1,1,0,0,1,0,0.0
15.90984071213786,8.830543010616596,5,1,2,1,1,1,0,1,1,0,1.0
15.90501876036436,8.85366542803745,3,2,4,1,0,0,0,1,2,0,1.0
15.900312705886206,8.920255414908091,3,2,3,1,0,0,1,0,1,1,1.0
15.892448969425992,9.104979856318357,4,2,4,1,0,0,0,1,2,0,1.0
15.890253578862556,8.699514748210191,3,1,4,1,1,0,0,1,2,0,0.0
15.883638339743836,8.699514748210191,4,2,4,1,0,0,0,1,1,0,0.5
15.879203742675971,8.787220328629298,3,1,2,1,0,1,0,1,0,1,1.0
15.87474939232659,8.757783656334167,3,2,4,1,0,0,0,1,0,1,1.0
15.856730886823913,8.776475789346321,3,2,4,1,0,0,0,1,2,0,0.0
15.856730886823913,8.699514748210191,4,2,4,1,0,0,0,0,2,0,0.5
15.838381748155715,8.699514748210191,4,2,4,1,0,0,0,1,1,0,1.0
15.838381748155715,8.699514748210191,3,2,3,1,0,0,0,1,0,0,0.5
15.833741368599213,8.699514748210191,3,2,4,1,0,0,0,1,1,0,1.0
15.829079355493402,8.794824928014517,3,1,4,1,0,0,0,1,3,1,1.0
15.824395506180975,8.366370301681654,3,2,2,1,0,1,0,0,1,0,0.0
15.819689615143563,8.914626127827137,3,2,1,1,1,1,0,1,0,1,0.5
15.819689615143563,8.914626127827137,3,2,4,1,0,0,0,0,1,1,0.0
15.819689615143563,8.752265313595721,3,1,4,1,0,0,0,1,1,0,0.0
15.81021087118902,8.699514748210191,4,2,4,1,1,0,0,1,1,0,1.0
